Title,Company,Company_ratings,Skills,Experience,City,Salary,Post_date
Senior Data Scientist - Machine Learning,Clean Harbors,3.3,Data ScientistRPower BIStatistical ModelingData VisualizationData ModelingTableauMachine Learning,6-10 Yrs,Hyderabad,"60,000-1.25 Lacs PA",3+ weeks ago
Data Scientist- Semantic Search,GE VERNOVA,4.1,Computer scienceComputer visiondeep learningGITVersion controlAnalyticalMachine learningSystem design,5-9 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",15-20 Lacs PA,3+ weeks ago
Data Scientist,Amgen Inc,2.7,rtableaumicrosoft azuremachine learningstatisticssqlcommunication skillsData,8-13 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",15-22.5 Lacs PA,3+ weeks ago
Data Scientist,S&P Global Market Intelligence,4,pythondata manipulationgcpstatistical modelingdata visualizationmachine learningstatisticsModeling,8-13 Yrs,Hyderabad,30-40 Lacs PA,3+ weeks ago
Data Scientist,Prudent Globaltech Solutions,4.1,Logistic regressionFront endAnalyticalMachine learninglinear regressionData processingData qualityData mining,5-12 Yrs,Hyderabad,15-30 Lacs PA,1 week ago
AML Engineer - GCH,Cognizant,3.6,Computer visiondata scienceGCPAnalyticalMachine learningSystem designContinuous improvementAnalytics,4-6 Yrs,Hyderabad,2-5 Lacs PA,2 weeks ago
Sr Data Engineer,Virinchi Health Care,3.2,Data EngineerComplianceArchitectureBig DataData AnalystMachine LearningSqlApache Spark,3-7 Yrs,Hyderabad,20-35 Lacs PA,2 weeks ago
Sr Data Engineer,Nomiso,2.7,data engineerpythonrestfulsprintdatabricksdata warehousingmachine learningdata analyst,4-6 Yrs,Hyderabad,8-18 Lacs PA,3+ weeks ago
Sr Data Engineer,360DigiTMG,3.9,data engineerpythondata analysissprintdatabricksdata warehousingmachine learningdata analyst,3-7 Yrs,Hyderabad,5-9 Lacs PA,3+ weeks ago
Sr Data Engineer,Evoastra Ventures,4.1,compliancedata analysisperformance tuningworkflow orchestrationbig data technologiesdatabricksdata architecturespark,2-7 Yrs,Hyderabad,10-20 Lacs PA,3+ weeks ago
Senior Data Scientist,Amgen Inc,2.7,gitstorytellingpythondata analyticsmachine learning frameworksmachine learningsubject matter expertanalytics,8-13 Yrs,Hyderabad,10-20 Lacs PA,2 days ago
Senior Data Scientist,Amazon,3.9,Machine LearningDeep LearningGen AIML OpsData ScientistNatural Language ProcessingAIModel Development,5-10 Yrs,Hyderabad,"50,000-3 Lacs PA",1 day ago
Lead Data Scientist,Amazon,3.9,Data ScientistTensorflowMatplotlibAzureData WranglingDiagnosticsHadoopFeature Engineering,12-17 Yrs,Hyderabad,10-20 Lacs PA,1 day ago
Principal Data Engineer Data & Analytics (Global Supply Chain),360DigiTMG,3.9,data analysisdata warehousingdata architecturedata modelingetl processcontinuous integrationpythonsap,10-15 Yrs,"Hyderabad, Gurugram, Bengaluru",10-15 Lacs PA,1 day ago
Lead Data Scientist,Amazon,3.9,data miningforecastingmachine learning algorithmsdeep neural networksstatisticstime series analysisarimaeviews,8-13 Yrs,Hyderabad,6-12 Lacs PA,Today
Senior Data Scientist,Mahindra &amp;amp;amp; Mahindra Limited.,3.9,pythontensorflowdata sciencepytorchml70721algorithmsnatural language processing,8-13 Yrs,Hyderabad,7-17 Lacs PA,1 day ago
AIML - Data Science,Stco Consulting,3.7,continuous integrationcudadatamathematicspysparkscaleazure devopsartificial intelligence,5-9 Yrs,Hybrid - Hyderabad,10-20 Lacs PA,1 day ago
Aws Data Engineer || Hybrid || TOP MNC ||,Amgen Inc,2.7,Azure Data EngineeringAzure DatabricksPythonAzure Data FactoryAzure SynapseAzure Data WarehouseAzure Key VaultAzure Data Lake,10-20 Yrs,Hyderabad,14-17 Lacs PA,1 day ago
Chief AI & Clinical Intelligence Officer (Hospitals),Amazon,3.9,Artificial IntelligenceMachine LearningDeep LearningDesigning And DevelopingEmerging TechnologiesAi SolutionsNatural Language ProcessingAi Platform,5-10 Yrs,Hyderabad,5-10 Lacs PA,2 weeks ago
Data Science Engineer,Pragma Edge Software Services,3.5,Advance PythonArimaData Science engineerMachine LearningIot SensorLarge Language ModelSLMData Science,4-5 Yrs,Hyderabad,15-16 Lacs PA,3 weeks ago
Senior Data Scientist - Python,Openpixel Web Solutions,4.3,Data ScienceTensorflowRPyTorchNLPData ScientistAWSMachine Learning,1-5 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",8-13 Lacs PA,3+ weeks ago
"AI/ML Development Engineer, Energy Domain",Eli Lilly And Company,3.5,Computer scienceSemiconductorData analysisRenewable energyAnalyticalMachine learningSensorsContinuous improvement,2-7 Yrs,Hyderabad,25-30 Lacs PA,3+ weeks ago
Jr. Data Engineer,Vmock,2.4,Computer scienceData analysisArchitectureData modelingdata securityMachine learningData processingAnalytics,2-4 Yrs,Hyderabad,7-10 Lacs PA,3+ weeks ago
Machine Learning Engineer Intern,Amgen Inc,2.7,pythonc++project managementcdata analysisnatural language processingmicrosoft azureaiml,3-6 Yrs,"Hyderabad, Chennai, Bengaluru",15-20 Lacs PA,3+ weeks ago
Data Scientist Manager,Pragmaticplay India,2.8,Computer scienceData analysisCodingAnalyticalConsultingStrategic planningTroubleshootingBusiness intelligence,3-6 Yrs,Hyderabad,17-32 Lacs PA,3+ weeks ago
Reporting and Analytics Manager,Amazon,3.9,Computer scienceVersion controldata sciencePharmaAnalyticalMachine learningLife sciencesSQL,3-8 Yrs,Hyderabad,"60,000-80,000 PA",3+ weeks ago
"Product Manager, Localization",Photon,4.1,Product managementData analysisTranslationProject managementStrategic planningManager TechnologyCustomer serviceCustomer experience,3-8 Yrs,Hyderabad,13-18 Lacs PA,3+ weeks ago
"Senior Applied Scientist, Translation Services",Hoffmann La Roche,5,deep learningC++Data analysisTranslationMachine learningE-commerceMathematicsCustomer experience,1-4 Yrs,"Hyderabad, Chennai, Bengaluru","60,000-80,000 PA",3+ weeks ago
AI/ML Engineer,Genpact,3.6,deep learningDiagnosticsGCPMachine learningCloudHealthcareGeneticsWellness,3-8 Yrs,Hyderabad,9-13 Lacs PA,3+ weeks ago
"Applied Scientist II, Translation Services",JPMorgan Chase Bank,3.8,UnixComputer visiondeep learningC++Data analysisLinuxMachine learningCustomer experience,1-4 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",5-6 Lacs PA,3+ weeks ago
AI Engineer (FSS),Globaldata,3.4,Application integrationBackendFront endGITMachine learningApplication developmentOpen sourceMonitoring,1-4 Yrs,Hyderabad,1-2.75 Lacs PA,3+ weeks ago
AI Engineer,Optum,4,AutomationLinuxData managementConfiguration managementDebuggingConsultingDNSTroubleshooting,2-5 Yrs,Hyderabad,3.5-4 Lacs PA,3+ weeks ago
Data Engineer II (AI & Game Data Systems),QYLIS,4,ArchitectData analysisBusiness analysisDatabase designJavascriptAnalyticsSQLCRM,1-9 Yrs,Hyderabad,6-16 Lacs PA,3+ weeks ago
Master Data Management Data Architect,Amgen Inc,2.7,ERPData modelingCodingWorkflowInformaticaBusiness intelligenceSDLCSQL,1-6 Yrs,Hyderabad,4.5-5 Lacs PA,3+ weeks ago
Data Engineer II,Providence Global Center,4.9,Data modelingTalent acquisitionDatastageMachine learningSCALAPLSQLInformaticaSSIS,4-6 Yrs,Hyderabad,8-12 Lacs PA,3+ weeks ago
AI Engineer - Mid Level,Tiger Analytics,3.7,Computer sciencedeep learningAutomationUsageArtificial IntelligenceMachine learningData processingNatural language processing,2-5 Yrs,Hyderabad,5-13 Lacs PA,3+ weeks ago
AI Research Scientist,Tredence,3.4,pythondata analysisnatural language processingdata miningdocumentationmachine learningresearchsql,3-5 Yrs,Hyderabad,5-14 Lacs PA,3+ weeks ago
GIS Engineer II,CGI,4,GISData analysisRisk analyticsJavascriptData processingPHPHTMLData mining,3-7 Yrs,Hyderabad,10-20 Lacs PA,3+ weeks ago
Data Engineer (BU),Wipro,3.6,Performance tuningAutomationCodingAgileWorkflowHealthcareCustomer supportAnalytics,3-6 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",4-7 Lacs PA,3+ weeks ago
Sr. Data Scientist,Amgen Inc,2.7,deep learningFront endMySQLMachine learningPHPInformation retrievalHTMLNatural language processing,4-8 Yrs,Hyderabad,4.5-5.5 Lacs PA,3+ weeks ago
Sr Data Engineer,Capgemini,3.7,Performance tuningData analysisData modelingCodingData Analystdata visualizationbig dataSQL,4-8 Yrs,Hyderabad,14-20 Lacs PA,3+ weeks ago
Senior Data Scientist,Amazon,3.9,Computer visiondeep learningVersion controlGITAnalyticalMachine learningSystem designNatural language processing,4-10 Yrs,Hyderabad,20-30 Lacs PA,3+ weeks ago
"Data Scientist II, ISS",360DigiTMG,3.9,AutomationData analysisSASAnalyticalMachine learningISSPerlData quality,3-7 Yrs,"Hyderabad, Chennai, Bengaluru, Thiruvananthapuram","50,000-2 Lacs PA",3+ weeks ago
Data Engineer (Azure),Quintessential Design,3.1,AutomationData modelingPowershellAnalyticalMachine learningData qualityAnalyticsSQL,3-6 Yrs,Hyderabad,21-22 Lacs PA,3+ weeks ago
AI Software Engineer,Bot Consulting,4.6,BPOSystem architecturetechnicalanalyticalsoftwarescalacloudjava,1-3 Yrs,"Hyderabad(Hayat Nagar +4), Nalgonda, Gajwel",20-30 Lacs PA,3+ weeks ago
Service Advisor,Codersbrain India,3.4,Automobile ServiceAdvisory ServicesWarrantyFinal InspectionWorkshop ManagementWarranty ManagementAfter Sales ServiceTechnical Services,1-2 Yrs,Hyderabad(Shaikpet +4),11-21 Lacs PA,3+ weeks ago
Sales Executive,Castlight Health,3.4,Field SalesCommercial VehicleCustomer RelationshipAftersalesSalesField MarketingAutomobile SalesCustomer Satisfaction,5-12 Yrs,Hyderabad,20-35 Lacs PA,1 week ago
Head of Data Science,CGI,4,data scienceGCPProject managementConsultingMachine learningClinical trialsHealthcareLife sciences,5-7 Yrs,Hybrid - Hyderabad,15-30 Lacs PA,3 weeks ago
Machine Learning Engineer - LLM Models,Swits Digital,3.9,Machine LearningTensorflowData SciencePyTorchArtificial IntelligenceData ScientistSparkLLM,9-14 Yrs,Hyderabad,11-19 Lacs PA,4 days ago
Sr. Manager-Data Science-HR Analytics-Immediate joiner-Hyderabad-RTO,Swits Digital,3.9,Data ScienceArtificial IntelligenceMachine LearningPythonMlAimlDataScience,10-15 Yrs,Hyderabad,2.75-3.25 Lacs PA,6 days ago
Vice President - Product Manager,CGI,4,Product managementAnalystData modelingAnalyticalArtificial IntelligenceConsultingMachine learningManagement,15-20 Yrs,Hyderabad(Kondapur),3-5.5 Lacs PA,1 week ago
Urgent job openings For Data Science - Director @ GlobalData(Hyderabad,CGI,4,Generative AiNatural Language ProcessingData ScienceLarge Language ModelPythonTensorflowArtificial IntelligenceMachine Learning,8-13 Yrs,Hyderabad,8.5-14 Lacs PA,1 week ago
Lead Data Scientist,Nomiso,2.7,data scientistpythondata analysisdata pipelinesscaladatabricksmicrosoft azuremachine learning,6-11 Yrs,Hyderabad,12-15 Lacs PA,2 weeks ago
Senior Data Scientist,Vidushi Infotech,2.7,Data ScienceNatural Language ProcessingPredictive ModelingArtificial IntelligenceTime Series AnalysisMachine Learning AlgorithmsMachine LearningDeep Learning,8-13 Yrs,Hyderabad,27.5-32.5 Lacs PA,3+ weeks ago
Senior Data Engineer,CGI,4,data engineerpythondata analysissprintdatabricksdata warehousingmachine learningdata analyst,12-17 Yrs,Hyderabad,25-40 Lacs PA,6 days ago
Principal Data Scientist,Nomiso,2.7,MiningSASTalent acquisitionAnalyticalManagement consultingHealthcareData processingPrincipal,5-9 Yrs,"Hyderabad, Chennai, Bengaluru","50,000-60,000 PA",3+ weeks ago
Senior Data Scientist - Transportation and Logistics,Tiger Analytics,3.7,GISSupply chainComputer scienceData analysisHealthcareBusiness intelligenceMonitoringSQL,5-8 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru",1-35 Lacs PA,2 weeks ago
Senior Data Scientist,The Depository Trust & Clearing Corporation (DTCC),3.9,Artificial IntelligenceMachine LearningSQLTime Series AnalysisPythonLangchainNatural Language ProcessingRegression,5-10 Yrs,"Hybrid - Hyderabad, Noida, Thiruvananthapuram",35-45 Lacs PA,2 weeks ago
Data Scientist - Generative AI Specialist,Egen (Formerly SpringML),3.9,Generative AiNatural Language ProcessingMachine LearningDeep LearningPythonArtificial IntelligenceDataMachine,6-11 Yrs,"Hyderabad, Bengaluru",10-20 Lacs PA,1 week ago
Hiring - Gen AI/Data Science - Hyderabad/Bangalore - MNC,Sonata Software,3.4,Data SciencePredictive ModelingLogistic RegressionArtificial IntelligenceNatural Language ProcessingRegressionMachine LearningDeep Learning,7-10 Yrs,"Hyderabad, Chennai, Bengaluru",2.75-3 Lacs PA,5 days ago
Machine Learning,Deloitte Consulting,3.7,Azurepower BISDKMachine LearningStudioPythonMachineBi,7-12 Yrs,Hyderabad,7-8.5 Lacs PA,1 week ago
Lead Data Scientist - AI/ML,Amgen Inc,2.7,AI/MLmodel monitoringJavaScalaHadoopKafkaMachine LearningData Science,8-10 Yrs,Hyderabad,17-30 Lacs PA,5 days ago
Ai Ml Architect,Amazon,3.9,aikubernetespythongithubdata analyticsnatural language processinggoogle cloud platformmachine learning,12-15 Yrs,Hyderabad,15-27.5 Lacs PA,3+ weeks ago
Principal IS Architect,Amazon,3.9,solution architectvettingpythonscalaaidatabricksjava developmentdata architecture,13-18 Yrs,"Hybrid - Hyderabad, Noida, Pune",7-14 Lacs PA,1 week ago
Technical Architect,Amgen Inc,2.7,Gen AiTechnical architectAImlPythonHealthcareBanking processProcessTechnical architecture,5-10 Yrs,Hyderabad,4-5 Lacs PA,3+ weeks ago
"Sr. Applied Scientist, Intl Seller Growth",Stco Consulting,3.7,deep learningC++Data analysisTranslationMachine learningProgrammingE-commerceNatural language processing,8-10 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",6-6.5 Lacs PA,3+ weeks ago
Senior Machine Learning Engineer,Pennant Technologies,3.9,Data modelingMySQLMachine learningTroubleshootingBusiness solutionsAnalyticsMonitoringPython,5-10 Yrs,Hyderabad,5-15 Lacs PA,3+ weeks ago
Sr. Data Engineer AWS,Claim Genius,2.6,Computer scienceData analysisArchitectureData modelingdata securityMachine learningData processingAnalytics,5-8 Yrs,Hyderabad,8-16 Lacs PA,3+ weeks ago
Senior Machine Learning Engineer,Bizviz Technologies,2.4,Computer scienceC++Data analysisNoSQLData managementMachine learningData structuresData processing,5-10 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",6-7 Lacs PA,3+ weeks ago
Lead Data Scientist,Amgen Inc,2.7,Supply chainERPData analysisAnalyticalIntellectual propertyApplication developmentAutomotiveMonitoring,5-9 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",5-12 Lacs PA,3+ weeks ago
Data Scientist Professional,Quadrytrix,3.3,deep learningPayrollData managementNeural networksArtificial IntelligenceConsultingMachine learningAWS,5-10 Yrs,Hyderabad,15-30 Lacs PA,3+ weeks ago
Senior Machine Learning Engineer,Pranathi Software Services,4.2,AnalyticalMachine learningEmployee engagementData structuresHealthcaretest driven developmentSQLPython,5-8 Yrs,Hyderabad,18-25 Lacs PA,3 weeks ago
SSE,Smiths,4,Generative AIpythondata analysisedaaipower bimachine learninggoogle ai platform,8-13 Yrs,Hyderabad,12-22 Lacs PA,3+ weeks ago
Junior Data Scientist,Aganitha Cognitive Solutions,3.9,Computer sciencedata scienceGCPAnalyticalMachine learningData qualityData miningAnalytics,8-13 Yrs,"Hyderabad, Pune, Bengaluru",3-4.5 Lacs PA,3+ weeks ago
Senior Data scientist,Blackbox Analytics & Solutions Private Limited,2.9,Computer sciencedata scienceGCPAnalyticalMachine learningData qualityData miningAnalytics,7-12 Yrs,Hyderabad,2-4.5 Lacs PA,3 weeks ago
Data Science,Amgen Inc,2.7,pythondeep learning frameworksalgorithmscontinuous integrationsnowflakedata manipulationscikit-learnmicrosoft azure,5-8 Yrs,Hyderabad,2-4.5 Lacs PA,3 weeks ago
Senior Software Engineer - SSE,Amgen Inc,2.7,software engineerpythonJ1025-0754ainumpyadvocatemachine learningartificial intelligence,8-13 Yrs,Hyderabad,2.25-3 Lacs PA,3+ weeks ago
Senior Data Scientist,Hathway Cable Datacom,3.3,Data analysisGCPAnalyticalMachine learningData qualitydata visualizationData miningAnalytics,5-10 Yrs,"Hyderabad, Bengaluru",6-10 Lacs PA,3+ weeks ago
Azure Data Engineer,Examity,3.3,GITCodingAnalyticalMachine learningSubject Matter ExpertUnit testingmicrosoftAnalytics,5-8 Yrs,Hyderabad,3.75-4.75 Lacs PA,3 weeks ago
Senior Software Engineer - SSE,Sunray Informatics,2.5,software engineerpythonainumpyadvocatemachine learningartificial intelligencesql,10-15 Yrs,Hyderabad,2.75-4 Lacs PA,3+ weeks ago
Lead Data Scientist,Hire-pro,3.5,Data analysisdata scienceGCPAnalyticalMachine learningData qualityData miningAnalytics,6-12 Yrs,"Hyderabad, Chennai, Bengaluru",3.75-4.5 Lacs PA,3+ weeks ago
Senior Data Scientist / Lead Data Scientist - NLP /GenAI,Amgen Inc,2.7,Health insuranceAutomationBusiness transformationConsultingMachine learningHealthcareWellnessLife sciences,8-13 Yrs,Hyderabad,2.5-4.75 Lacs PA,3+ weeks ago
Lead Software Engineer,Wipro,3.6,algorithmsdata analysisdashboard developmentdata structuresdata visualizationmachine learningmachine learning algorithmsAnalysis,8-10 Yrs,Hyderabad,2-4 Lacs PA,3+ weeks ago
Senior Data Engineer ( Azure ),Hbic Solutions,3.6,Performance tuningData managementData modelingCodingActive directoryAgileAnalyticsMonitoring,10-15 Yrs,"Hyderabad, Chennai, Bengaluru",3-3.5 Lacs PA,3+ weeks ago
Data Architect,Zota Health Care,3.6,Data LakeData ArchitectureData WarehousingGenerative AiArtificial IntelligenceData ModelingAWSMachine Learning,5-9 Yrs,Hyderabad,2.75-3.5 Lacs PA,Few hours ago
International Voice Process Associate- Walkin Hyd & Chn_31st Jan'26,EY,3.4,International Voice ProcessBPOUS ProcessInbound Voice ProcessInternational Call CenterBpo VoiceVoice ProcessInternational Voice,5-8 Yrs,Hyderabad,2.5-3.75 Lacs PA,3+ weeks ago
Reporting and Analytics Manager,IBM,3.9,story writingnatural language processingpresentation skillsstatistical modelingmachine learningmachine learning algorithmscommunication skillsReporting And Analytics,8-13 Yrs,Hyderabad,2.25-3 Lacs PA,3+ weeks ago
"Manager, Data Science and Machine Learning",IBM,3.9,Computer sciencePDFKaizenHP data protectordata scienceDiversity and InclusionMachine learningTrend analysis,8-13 Yrs,Hyderabad,,3+ weeks ago
"Manager, Business Intelligence Engineer, III, Amazon FinAuto",Rupeek,4.1,Computer scienceAutomationMISMachine learningcorporate real estatePredictive modelingDistribution systemManager Business Intelligence,6-11 Yrs,Hyderabad,,3+ weeks ago
"Business Intelligence Engineer, III, Amazon FinAuto - GREF Tech",Academic Heights Public School(AHPS),3.9,Computer scienceAutomationMISMachine learningcorporate real estatePredictive modelingBusiness intelligenceDistribution system,8-13 Yrs,Hyderabad,,2 weeks ago
Senior Databricks Engineer,Amgen Inc,2.7,Performance tuningAutomationVersion controlGITMachine learningSchemaSchedulingOpen source,6-11 Yrs,Hyderabad,,2 weeks ago
Senior Data Scientist - Surfaceome Biology,Amgen Inc,2.7,data scientistlocalizationcontinuous integrationpythonbiologyversion controldata processingai,9-14 Yrs,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",,3+ weeks ago
Data Scientist - Assistant Manager,Coforge,3.2,Computer sciencePDFCognosAnalyticalMachine learningOLAPToadBusiness intelligence,9-14 Yrs,Hyderabad,,3+ weeks ago
